District,Name,Pop,Apartments,Size
1,Budapest I. kerület,25172,17026,341
2,Budapest II. kerület,89452,49093,3634
3,Budapest III. kerület,130560,63410,3970
4,Budapest IV. kerület,100071,47406,1882
5,Budapest IX. kerület,59720,41096,1253
6,Budapest V. kerület,26013,19794,259
7,Budapest VI. kerület,38541,28135,238
8,Budapest VII. kerület,52362,37023,209
9,Budapest VIII. kerület,76916,45569,685
10,Budapest X. kerület,78030,38867,3249
11,Budapest XI. kerület,148517,80215,3349
12,Budapest XII. kerület,57566,33583,2667
13,Budapest XIII. kerület,121657,74364,1344
14,Budapest XIV. kerület,124218,73280,1813
15,Budapest XIX. kerület,59648,27389,938
16,Budapest XV. kerület,79675,37350,2694
17,Budapest XVI. kerület,74499,31591,3351
18,Budapest XVII. kerület,87673,33682,5482
19,Budapest XVIII. kerület,102216,44308,3860
20,Budapest XX. kerület,65611,31137,1219
21,Budapest XXI. kerület,76092,33383,2575
22,Budapest XXII. kerület,55112,22974,3425
23,Budapest XXIII. kerület,22965,8750,4077
